date,gross,turnover_cost,borrow_cost,net,held_gross_lev,stitched
2008-07-30,124.43918366113543,0.0,1.1327719487987842,123.30641171233664,1.3916418749961774,False
2008-07-31,323.19267303943366,0.0,1.1327719487987842,322.05990109063487,1.3916418749961774,False
2008-08-01,-149.58123629651433,73.93243041569457,1.1327719487987842,-224.6464386610077,1.3916418749961774,False
2008-08-04,-686.8220855899668,0.0,1.1810548307731212,-688.00314042074,2.008465545022442,False
2008-08-05,-1098.8516587802153,0.0,1.1810548307731212,-1100.0327136109884,2.008465545022442,False
2008-08-06,-721.0383319350628,0.0,1.1810548307731212,-722.219386765836,2.008465545022442,False
2008-08-07,602.3351651684935,0.0,1.1810548307731212,601.1541103377203,2.008465545022442,False
2008-08-08,-1235.044110535593,0.0,1.1810548307731212,-1236.2251653663661,2.008465545022442,False
2008-08-11,-999.9451161415196,0.0,1.1810548307731212,-1001.1261709722928,2.008465545022442,False
2008-08-12,392.759412482157,0.0,1.1810548307731212,391.5783576513839,2.008465545022442,False
2008-08-13,459.6536170218754,0.0,1.1810548307731212,458.47256219110227,2.008465545022442,False
2008-08-14,-52.336366372535025,0.0,1.1810548307731212,-53.517421203308146,2.008465545022442,False
2008-08-15,-553.8483217904025,0.0,1.1810548307731212,-555.0293766211756,2.008465545022442,False
2008-08-18,312.2325555584016,0.0,1.1810548307731212,311.0515007276285,2.008465545022442,False
2008-08-19,640.9710440322658,0.0,1.1810548307731212,639.7899892014926,2.008465545022442,False
2008-08-20,124.76016669102094,0.0,1.1810548307731212,123.57911186024782,2.008465545022442,False
2008-08-21,1046.4239434762032,0.0,1.1810548307731212,1045.2428886454302,2.008465545022442,False
2008-08-22,-1294.494801712922,0.0,1.1810548307731212,-1295.675856543695,2.008465545022442,False
2008-08-25,304.2061582742253,0.0,1.1810548307731212,303.02510344345217,2.008465545022442,False
2008-08-26,125.98532907245178,0.0,1.1810548307731212,124.80427424167866,2.008465545022442,False
2008-08-27,138.4083552838376,0.0,1.1810548307731212,137.2273004530645,2.008465545022442,False
2008-08-28,-418.67498023552076,0.0,1.1810548307731212,-419.8560350662939,2.008465545022442,False
2008-08-29,-387.37496614727456,0.0,1.1810548307731212,-388.5560209780477,2.008465545022442,False
2008-09-02,-754.7793707939636,90.57361979720459,1.1810548307731212,-846.5340454219414,2.008465545022442,False
2008-09-03,52.499194009984414,0.0,1.3935793030790242,51.10561470690539,1.3016110488622508,False
2008-09-04,778.4096395897038,0.0,1.3935793030790242,777.0160602866248,1.3016110488622508,False
2008-09-05,-267.8182744268029,0.0,1.3935793030790242,-269.2118537298819,1.3016110488622508,False
2008-09-08,-593.6771021834186,0.0,1.3935793030790242,-595.0706814864976,1.3016110488622508,False
2008-09-09,402.19036699408946,0.0,1.3935793030790242,400.7967876910104,1.3016110488622508,False
2008-09-10,-616.964469367356,0.0,1.3935793030790242,-618.358048670435,1.3016110488622508,False
2008-09-11,-299.8762405555981,0.0,1.3935793030790242,-301.2698198586771,1.3016110488622508,False
2008-09-12,-100.12203330280137,0.0,1.3935793030790242,-101.51561260588039,1.3016110488622508,False
2008-09-15,2109.315871374059,0.0,1.3935793030790242,2107.92229207098,1.3016110488622508,False
2008-09-16,-1151.3775325308184,0.0,1.3935793030790242,-1152.7711118338973,1.3016110488622508,False
2008-09-17,2414.5214492583464,0.0,1.3935793030790242,2413.127869955267,1.3016110488622508,False
2008-09-18,-2404.1666224447913,0.0,1.3935793030790242,-2405.5602017478705,1.3016110488622508,False
2008-09-19,-874.3785130507717,0.0,1.3935793030790242,-875.7720923538508,1.3016110488622508,False
2008-09-22,2080.969753727359,0.0,1.3935793030790242,2079.57617442428,1.3016110488622508,False
2008-09-23,-108.96121203354525,0.0,1.3935793030790242,-110.35479133662427,1.3016110488622508,False
2008-09-24,-337.9923338580107,0.0,1.3935793030790242,-339.3859131610897,1.3016110488622508,False
2008-09-25,-159.90107054482758,0.0,1.3935793030790242,-161.2946498479066,1.3016110488622508,False
2008-09-26,-400.16941089879197,0.0,1.3935793030790242,-401.562990201871,1.3016110488622508,False
2008-09-29,2070.2495041489888,0.0,1.3935793030790242,2068.8559248459096,1.3016110488622508,False
2008-09-30,-1529.495624448862,0.0,1.3935793030790242,-1530.8892037519408,1.3016110488622508,False
2008-10-01,61.87320458912657,64.34171505296727,1.3935793030790242,-3.862089766919725,1.3016110488622508,False
2008-10-02,1399.4212306021016,0.0,1.0898699370321911,1398.3313606650693,0.8828635428541464,False
2008-10-03,380.8468997890416,0.0,1.0898699370321911,379.7570298520094,0.8828635428541464,False
2008-10-06,1634.8584089437265,0.0,1.0898699370321911,1633.7685390066943,0.8828635428541464,False
2008-10-07,1017.7914741797942,0.0,1.0898699370321911,1016.7016042427621,0.8828635428541464,False
2008-10-08,644.1504094801024,0.0,1.0898699370321911,643.0605395430703,0.8828635428541464,False
2008-10-09,1175.7163898968217,0.0,1.0898699370321911,1174.6265199597894,0.8828635428541464,False
2008-10-10,27.219718095834192,0.0,1.0898699370321911,26.129848158802,0.8828635428541464,False
2008-10-13,-3503.008314808155,0.0,1.0898699370321911,-3504.098184745187,0.8828635428541464,False
2008-10-14,465.0179760846509,0.0,1.0898699370321911,463.92810614761873,0.8828635428541464,False
2008-10-15,2458.002617689957,0.0,1.0898699370321911,2456.9127477529246,0.8828635428541464,False
2008-10-16,-1036.8383261613478,0.0,1.0898699370321911,-1037.92819609838,0.8828635428541464,False
2008-10-17,520.4998571765758,0.0,1.0898699370321911,519.4099872395436,0.8828635428541464,False
2008-10-20,-771.4690677977064,0.0,1.0898699370321911,-772.5589377347386,0.8828635428541464,False
2008-10-21,1193.739612898541,0.0,1.0898699370321911,1192.6497429615088,0.8828635428541464,False
2008-10-22,1774.7317491277593,0.0,1.0898699370321911,1773.641879190727,0.8828635428541464,False
2008-10-23,194.31105118843402,0.0,1.0898699370321911,193.22118125140182,0.8828635428541464,False
2008-10-24,1298.1558480071071,0.0,1.0898699370321911,1297.0659780700748,0.8828635428541464,False
2008-10-27,983.4687206937604,0.0,1.0898699370321911,982.3788507567282,0.8828635428541464,False
2008-10-28,-2775.7324848658295,0.0,1.0898699370321911,-2776.822354802862,0.8828635428541464,False
2008-10-29,-403.91773823227624,0.0,1.0898699370321911,-405.0076081693084,0.8828635428541464,False
